asset_id,id1,latitude,longitude
SF00001,1,-37.86935,144.60962
SF00013,2,-37.88832,144.61649
SF00014,3,-37.8883,144.61656
SF00015,4,-37.88824,144.6166
SF00016,5,-37.88818,144.61661
SF00017,6,-37.88811,144.61663
SF00018,7,-37.88841,144.61731
SF00019,8,-37.88837,144.61716
SF00020,9,-37.88833,144.61692
SF00021,10,-37.88831,144.61686
SF00022,11,-37.88826,144.61683
SF00023,12,-37.8882,144.61683
SF00024,13,-37.88813,144.61683
SF00029,14,-37.8878,144.61688
SF00030,15,-37.88763,144.6168
SF00031,16,-37.88766,144.61679
SF00032,17,-37.88769,144.61678
SF00033,18,-37.88773,144.61677
SF00034,19,-37.88765,144.61694
SF00035,20,-37.88744,144.61703
SF00036,21,-37.88734,144.61713
SF00037,22,-37.88726,144.61726
SF00038,23,-37.88724,144.61709
SF00039,24,-37.88747,144.61669
SF00040,25,-37.88736,144.61663
SF00041,26,-37.88732,144.61634
SF00042,27,-37.88719,144.6156
SF00043,28,-37.88721,144.61574
SF00044,29,-37.88723,144.61588
SF00045,30,-37.88728,144.61615
SF00046,31,-37.88739,144.61618
SF00047,32,-37.88741,144.61635
SF00048,33,-37.88733,144.61588
SF00049,34,-37.88737,144.61609
SF00050,35,-37.8873,144.61567
SF00051,36,-37.88727,144.61551
SF00052,37,-37.88726,144.61541
SF00053,38,-37.88716,144.61541
SF00056,39,-37.88707,144.61478
SF00057,40,-37.88697,144.61492
SF00058,41,-37.88677,144.61501
SF00059,42,-37.88683,144.61498
SF00060,43,-37.88685,144.6151
SF00061,44,-37.88664,144.61507
SF00062,45,-37.8865,144.61512
SF00063,46,-37.88639,144.61518
SF00064,47,-37.88661,144.61521
SF00065,48,-37.8864,144.6153
SF00066,49,-37.8863,144.61547
SF00067,50,-37.8863,144.61561
SF00068,51,-37.8863,144.61579
SF00069,52,-37.88631,144.61589
SF00071,53,-37.88609,144.61543
SF00072,54,-37.8862,144.61587
SF00073,55,-37.88622,144.61595
SF00074,56,-37.8863,144.61607
SF00075,57,-37.88637,144.6162
SF00076,58,-37.88646,144.61615
SF00077,59,-37.88653,144.6163
SF00078,60,-37.88651,144.61645
SF00079,61,-37.88644,144.6166
